geometry,event_uniq,occurrence,district,divisional,near_x,x_coordina,orig_fid,crimestopp,y_coordina,near_y,near_dist,objectid,y,x,near_fid,type
POINT (-79.2917983193 43.6912188316),GO-201620700,2016-01-04T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.2917983194,637676,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4838966,43.6912188318,0.000295326841463,1,43.691,-79.2916,9074,Shooting
POINT (-79.4119233011 43.7930522109),GO-201698593,2016-01-17T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4119233012,627818,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4850245,43.7930522112,0.00119225342545,2,43.794,-79.4112,15370,Other
POINT (-79.5087495035 43.5974412428),GO-2016108786,2016-01-19T00:00:00.000Z,d22,http://www.torontopolice.on.ca/d22/,-79.5087495031,620315,2,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4828289,43.597441243,0.000857528745151,3,43.598,-79.5094,18258,Shooting
POINT (-79.3335579554 43.7957558724),GO-2016120610,2016-01-20T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.3335579553,634089,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4850570,43.7957558727,0.000433278330007,4,43.796,-79.3332,6477,Shooting
POINT (-79.5436006124 43.6707411067),GO-2016119350,2016-01-20T00:00:00.000Z,d22,http://www.torontopolice.on.ca/d22/,-79.5436006121,617383,4,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4836322,43.6707411067,0.000395801559617,5,43.671,-79.5439,16979,Shooting
POINT (-79.2536818 43.7692393565),GO-2016139786,2016-01-24T00:00:00.000Z,d43,http://www.torontopolice.on.ca/d43/,-79.2536818003,640595,5,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4847749,43.7692393563,0.000629112874051,6,43.769,-79.2531,200,Shooting
POINT (-79.4675850945 43.7054773893),GO-2016173014,2016-01-29T00:00:00.000Z,d13,http://www.torontopolice.on.ca/d13/,-79.4675850946,623533,6,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4840397,43.705477389,0.00102786897352,7,43.706,-79.4667,19989,Shooting
POINT (-79.5810492736 43.7363481599),GO-2016175803,2016-01-30T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5810492733,614269,7,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4843485,43.7363481597,0.000351629129997,8,43.736,-79.581,11906,Other
POINT (-79.3986448606 43.6544035368),GO-2016181573,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.398644861,629068,8,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834672,43.654403537,0.000856199181361,9,43.654,-79.3994,22393,Shooting
POINT (-79.3986448606 43.6544035368),GO-2016181573,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.398644861,629068,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834672,43.654403537,0.000856199181361,10,43.654,-79.3994,22393,Shooting
POINT (-79.5699706126 43.649157321),GO-2016204501,2016-02-03T00:00:00.000Z,d22,http://www.torontopolice.on.ca/d22/,-79.5699706123,615330,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4833992,43.6491573209,0.00084563238766,11,43.65,-79.5699,16373,Stabbing
POINT (-79.304872549 43.7138803226),GO-2016225259,2016-02-07T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.3048725492,636558,11,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841455,43.7138803228,0.000122785133084,12,43.714,-79.3049,8310,Other
POINT (-79.5040841013 43.7006333889),GO-2016235777,2016-02-09T00:00:00.000Z,d12,http://www.torontopolice.on.ca/d12/,-79.5040841009,620538,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4839738,43.700633389,0.000366955564285,13,43.701,-79.5041,18496,Stabbing
POINT (-79.2896749579 43.7043605527),GO-2016345475,2016-02-27T00:00:00.000Z,d41,http://www.torontopolice.on.ca/d41/,-79.2896749581,637763,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4840528,43.704360553,0.000827382267521,14,43.705,-79.2902,9194,Stabbing
POINT (-79.5164944281 43.6915133434),GO-2016354140,2016-02-28T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5164944281,619540,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4838630,43.6915133431,0.000552974615304,15,43.691,-79.5167,13337,Shooting
