geometry,event_uniq,crime_type,objectid,district,occurren_4,crimestopp,divisional,datecon
POINT (-79.471919198 43.634684747),GO-2016866282,Robbery,1,d11,5,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/,
POINT (-79.436264433 43.64296255),GO-2016848117,Robbery,2,d11,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/,
POINT (-79.439290717 43.66339649),GO-2016883813,Robbery,3,d11,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/,
POINT (-79.457863549 43.666889581),GO-2016885067,Robbery,4,d11,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/,
POINT (-79.485924153 43.665628799),GO-2016842385,Robbery,5,d12,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.462506186 43.690397158),GO-2016884738,Robbery,6,d12,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.478437035 43.695083129),GO-2016871152,Robbery,7,d12,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.501660239 43.697548747),GO-2016868020,Robbery,8,d12,11,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.462506186 43.690397158),GO-2016861092,Robbery,9,d13,11,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.452066019 43.69649887),GO-2016862982,Robbery,10,d13,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.452066019 43.69649887),GO-2016862982,Robbery,11,d13,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.452066019 43.69649887),GO-2016862982,Robbery,12,d13,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.401762482 43.638378041),GO-2016859168,Robbery,13,d14,2,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.534734045 43.592057675),GO-2016857470,Robbery,14,d22,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.492920955 43.603072528),GO-2016864412,Robbery,15,d22,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.564678522 43.649807464),GO-2016872487,Robbery,16,d22,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.555118303 43.672754566),GO-2016839133,Robbery,17,d22,5,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.555118303 43.672754566),GO-2016839133,Robbery,18,d22,5,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.592851885 43.680814577),GO-2016879447,Robbery,19,d23,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.572185264 43.68134004),GO-2016858648,Robbery,20,d23,23,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.546328552 43.699259514),GO-2016851705,Robbery,21,d23,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.592087862 43.732180736),GO-2016853628,Robbery,22,d23,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.592087862 43.732180736),GO-2016853628,Robbery,23,d23,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.59353975 43.733771898),GO-2016867631,Robbery,24,d23,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.481590042 43.724443237),GO-2016888708,Robbery,25,d31,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.486777999 43.740910683),GO-2016845637,Robbery,26,d31,4,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.486777999 43.740910683),GO-2016845637,Robbery,27,d31,4,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.520702416 43.756732128),GO-2016856978,Robbery,28,d31,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.44378425 43.716771823),GO-2016871228,Robbery,29,d32,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.430311062 43.721622085),GO-2016876708,Robbery,30,d32,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.430311062 43.721622085),GO-2016876708,Robbery,31,d32,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.441343492 43.734099545),GO-2016859617,Robbery,32,d32,6,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.468468434 43.775193859),GO-2016850103,Robbery,33,d32,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.360474638 43.751080679),GO-2016872380,Robbery,34,d33,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.360474638 43.751080679),GO-2016872380,Robbery,35,d33,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.360474638 43.751080679),GO-2016872380,Robbery,36,d33,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.360474638 43.751080679),GO-2016872380,Robbery,37,d33,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.360474638 43.751080679),GO-2016872380,Robbery,38,d33,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.360474638 43.751080679),GO-2016872380,Robbery,39,d33,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.347045215 43.755811758),GO-2016882616,Robbery,40,d33,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.348718196 43.780264683),GO-2016869738,Robbery,41,d33,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.272232267 43.696760828),GO-2016881960,Robbery,42,d41,4,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/,
POINT (-79.285739305 43.723288816),GO-2016875465,Robbery,43,d41,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/,
POINT (-79.26355924 43.721958399),GO-2016880605,Robbery,44,d41,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/,
POINT (-79.229542905 43.801260429),GO-2016840095,Robbery,45,d42,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/,
POINT (-79.229542905 43.801260429),GO-2016840095,Robbery,46,d42,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/,
POINT (-79.217712905 43.811499096),GO-2016864381,Robbery,47,d42,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/,
POINT (-79.22404546 43.730857304),GO-2016865089,Robbery,48,d43,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.18768356 43.750923648),GO-2016888981,Robbery,49,d43,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.224709313 43.757840955),GO-2016883898,Robbery,50,d43,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.175107444 43.767678052),GO-2016883238,Robbery,51,d43,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.183369369 43.767565168),GO-2016877589,Robbery,52,d43,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.183369369 43.767565168),GO-2016877589,Robbery,53,d43,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.220072639 43.773263666),GO-2016872320,Robbery,54,d43,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.258493171 43.771703903),GO-2016879077,Robbery,55,d43,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.216191772 43.775421894),GO-2016872328,Robbery,56,d43,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.370223944 43.646426666),GO-2016848568,Robbery,57,d51,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.365313929 43.654261549),GO-2016857750,Robbery,58,d51,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.37391703 43.655361788),GO-2016871918,Robbery,59,d51,23,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.372761713 43.655608299),GO-2016847510,Robbery,60,d51,11,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.375177416 43.668254677),GO-2016867608,Robbery,61,d51,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.375177416 43.668254677),GO-2016867608,Robbery,62,d51,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.39429227 43.643590779),GO-2016879002,Robbery,63,d52,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.380926409 43.656328776),GO-2016876697,Robbery,64,d52,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.394504366 43.669606233),GO-2016872399,Robbery,65,d53,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/,
POINT (-79.40412333 43.703510711),GO-2016855385,Robbery,66,d53,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/,
POINT (-79.338163658 43.678328035),GO-2016876344,Robbery,67,d54,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d54/,
